modality,hand,band,trial_in_group,orig_epoch_index,channel,ers_onset_s,ers_peak_s,ers_peak_amp,detected,thr_percent,min_dur_s,search_start_s,search_end_s
A,right,beta,29,113,C3,7.92,7.984,51.55676361803558,True,30.0,0.15,6.25,8.5
V,left,beta,0,0,C4,,8.448,30.751449702361416,False,30.0,0.15,6.25,8.5
V,left,beta,1,1,C4,7.396,8.102,44.6476377165546,True,30.0,0.15,6.25,8.5
V,left,beta,2,6,C4,,7.0,-5.630438111095331,False,30.0,0.15,6.25,8.5
V,left,beta,3,7,C4,6.25,6.534,83.46897794125758,True,30.0,0.15,6.25,8.5
V,left,beta,4,8,C4,6.574,6.718,122.55728835323406,True,30.0,0.15,6.25,8.5
V,left,beta,5,10,C4,6.806,6.866,48.26475543567454,True,30.0,0.15,6.25,8.5
V,left,beta,6,12,C4,7.478,7.672,111.28599308050109,True,30.0,0.15,6.25,8.5
V,left,beta,7,16,C4,,7.626,-80.29436139774624,False,30.0,0.15,6.25,8.5
V,left,beta,8,17,C4,6.942,7.114,64.88326935573782,True,30.0,0.15,6.25,8.5
V,left,beta,9,18,C4,,6.796,-13.396564022208413,False,30.0,0.15,6.25,8.5
V,left,beta,10,19,C4,6.624,8.44,67.20391597161937,True,30.0,0.15,6.25,8.5
V,left,beta,11,20,C4,6.25,6.25,45.72177467353466,True,30.0,0.15,6.25,8.5
V,left,beta,12,22,C4,7.008,7.332,100.79051250627631,True,30.0,0.15,6.25,8.5
V,left,beta,13,23,C4,,7.718,14.475763760891542,False,30.0,0.15,6.25,8.5
V,left,beta,14,26,C4,,8.11,26.241530825708747,False,30.0,0.15,6.25,8.5
V,left,beta,15,28,C4,,8.438,52.89221874895793,False,30.0,0.15,6.25,8.5
V,left,beta,16,29,C4,7.828,8.004,256.9093499955483,True,30.0,0.15,6.25,8.5
V,left,beta,17,31,C4,6.25,7.044,108.9585863507798,True,30.0,0.15,6.25,8.5
V,left,beta,18,35,C4,6.28,6.366,54.77326306602692,True,30.0,0.15,6.25,8.5
V,left,beta,19,37,C4,6.502,6.654,70.11345077740562,True,30.0,0.15,6.25,8.5
V,left,beta,20,43,C4,,8.354,0.6400602442520383,False,30.0,0.15,6.25,8.5
V,left,beta,21,44,C4,7.986,8.234,83.67827365010629,True,30.0,0.15,6.25,8.5
V,left,beta,22,45,C4,6.3,8.5,79.30718452081281,True,30.0,0.15,6.25,8.5
V,left,beta,23,46,C4,6.25,7.826,235.726409971854,True,30.0,0.15,6.25,8.5
V,left,beta,24,47,C4,6.532,7.588,771.9184301011336,True,30.0,0.15,6.25,8.5
V,left,beta,25,49,C4,8.294,8.402,45.69751345659002,True,30.0,0.15,6.25,8.5
V,left,beta,26,50,C4,6.986,7.39,60.31637362601754,True,30.0,0.15,6.25,8.5
V,left,beta,27,52,C4,,8.018,16.145641527722294,False,30.0,0.15,6.25,8.5
