modality,model,time_s,mean_bal_acc,sem_bal_acc
A,CSP+LDA,-4.0,0.4204761904761905,0.07128795683083958
A,CSP+LDA,-3.9,0.43714285714285717,0.0627623744472634
A,CSP+LDA,-3.8,0.4538095238095238,0.05789485347556306
A,CSP+LDA,-3.7,0.4595238095238095,0.06830885574537632
A,CSP+LDA,-3.6,0.4261904761904762,0.06639400022069857
A,CSP+LDA,-3.5,0.4261904761904762,0.08056982436768405
A,CSP+LDA,-3.4,0.4428571428571429,0.07280810674755431
A,CSP+LDA,-3.3,0.4428571428571429,0.07280810674755431
A,CSP+LDA,-3.2,0.42285714285714276,0.0616137850111593
A,CSP+LDA,-3.1,0.42285714285714276,0.0616137850111593
A,CSP+LDA,-3.0,0.4228571428571429,0.07005262032581273
A,CSP+LDA,-2.9,0.43952380952380954,0.08495230087546941
A,CSP+LDA,-2.8,0.4904761904761905,0.09227841634124948
A,CSP+LDA,-2.7,0.4704761904761905,0.0865259192027311
A,CSP+LDA,-2.6,0.47285714285714286,0.0826797498973231
A,CSP+LDA,-2.5,0.4704761904761905,0.0865259192027311
A,CSP+LDA,-2.4,0.4704761904761905,0.0865259192027311
A,CSP+LDA,-2.3,0.45619047619047615,0.08707452434045015
A,CSP+LDA,-2.2,0.45619047619047615,0.08707452434045015
A,CSP+LDA,-2.1,0.45619047619047615,0.08707452434045015
A,CSP+LDA,-2.0,0.4419047619047619,0.08991870856312309
A,CSP+LDA,-1.9,0.43952380952380954,0.07356179625648578
A,CSP+LDA,-1.7999999999999998,0.43952380952380954,0.07356179625648578
A,CSP+LDA,-1.7000000000000002,0.45619047619047615,0.06410733629541492
A,CSP+LDA,-1.6,0.45619047619047615,0.06410733629541492
A,CSP+LDA,-1.5,0.43952380952380954,0.07356179625648578
A,CSP+LDA,-1.4,0.4704761904761904,0.06336018048944722
A,CSP+LDA,-1.2999999999999998,0.4538095238095238,0.07372345211864573
A,CSP+LDA,-1.2000000000000002,0.4538095238095238,0.07372345211864573
A,CSP+LDA,-1.1,0.4871428571428571,0.10046829127152708
A,CSP+LDA,-1.0,0.4871428571428571,0.10046829127152708
A,CSP+LDA,-0.8999999999999999,0.5038095238095238,0.0916267693013767
A,CSP+LDA,-0.7999999999999998,0.5061904761904762,0.08777806481195355
A,CSP+LDA,-0.7000000000000002,0.5061904761904762,0.08777806481195355
A,CSP+LDA,-0.6000000000000001,0.5061904761904762,0.08777806481195355
A,CSP+LDA,-0.5,0.5038095238095238,0.09534101581718202
A,CSP+LDA,-0.40000000000000036,0.4538095238095238,0.07372345211864573
A,CSP+LDA,-0.2999999999999998,0.4704761904761904,0.06336018048944722
A,CSP+LDA,-0.20000000000000018,0.45619047619047615,0.06410733629541494
A,CSP+LDA,-0.09999999999999964,0.4704761904761905,0.06336018048944723
A,CSP+LDA,0.0,0.4704761904761904,0.06336018048944722
A,CSP+LDA,0.09999999999999964,0.4538095238095238,0.07372345211864573
A,CSP+LDA,0.20000000000000018,0.4228571428571429,0.08108043093853866
A,CSP+LDA,0.2999999999999998,0.4228571428571429,0.08108043093853866
A,CSP+LDA,0.40000000000000036,0.40857142857142853,0.08270031682906734
A,CSP+LDA,0.5,0.42523809523809525,0.07612943983753803
A,CSP+LDA,0.5999999999999996,0.4419047619047619,0.08991870856312309
A,CSP+LDA,0.7000000000000002,0.4228571428571429,0.061613785011159314
A,CSP+LDA,0.7999999999999998,0.4228571428571429,0.061613785011159314
A,CSP+LDA,0.9000000000000004,0.4538095238095238,0.051549681032111855
A,CSP+LDA,1.0,0.4871428571428572,0.07698838148937631
A,CSP+LDA,1.0999999999999996,0.4871428571428572,0.07698838148937631
A,CSP+LDA,1.2000000000000002,0.4538095238095238,0.06138795260980435
A,CSP+LDA,1.2999999999999998,0.4871428571428571,0.09179984141791171
A,CSP+LDA,1.4000000000000004,0.4538095238095238,0.051549681032111855
A,CSP+LDA,1.5,0.4871428571428571,0.05611981028635042
A,CSP+LDA,1.5999999999999996,0.4538095238095238,0.041050546796483116
A,CSP+LDA,1.7000000000000002,0.4871428571428572,0.05611981028635045
A,CSP+LDA,1.7999999999999998,0.4704761904761905,0.05515696011776853
A,CSP+LDA,1.9000000000000004,0.4704761904761905,0.06336018048944723
A,CSP+LDA,2.0,0.4704761904761905,0.06336018048944723
A,CSP+LDA,2.0999999999999996,0.47285714285714286,0.07092521052156522
A,CSP+LDA,2.2,0.5038095238095238,0.08117825630704416
A,CSP+LDA,2.3,0.4895238095238096,0.08320602520482209
A,CSP+LDA,2.4000000000000004,0.4228571428571429,0.07005262032581275
A,CSP+LDA,2.5,0.47285714285714286,0.0922095857801702
A,CSP+LDA,2.5999999999999996,0.4228571428571429,0.07005262032581275
A,CSP+LDA,2.7,0.43952380952380954,0.07356179625648579
A,CSP+LDA,2.8,0.468095238095238,0.05558185318634237
A,CSP+LDA,2.9000000000000004,0.4538095238095238,0.0708412360537532
A,CSP+LDA,3.0,0.4514285714285714,0.08277226084584666
A,CSP+LDA,3.0999999999999996,0.4847619047619047,0.08346452258661906
A,CSP+LDA,3.2,0.41714285714285715,0.05811377534073776
A,CSP+LDA,3.3,0.4647619047619047,0.07220765595303098
A,CSP+LDA,3.4000000000000004,0.4647619047619047,0.07220765595303098
A,CSP+LDA,3.5,0.4504761904761905,0.06897944088861638
A,CSP+LDA,3.5999999999999996,0.4671428571428571,0.058011258583562715
A,CSP+LDA,3.6999999999999993,0.45285714285714285,0.05862367008195196
A,CSP+LDA,3.8000000000000007,0.4385714285714286,0.06258056032517001
A,CSP+LDA,3.9000000000000004,0.4385714285714286,0.06258056032517001
A,CSP+LDA,4.0,0.4219047619047619,0.05337477131709256
A,CSP+LDA,4.1,0.40523809523809523,0.04220670439268636
A,CSP+LDA,4.199999999999999,0.42523809523809525,0.05740811449592579
A,CSP+LDA,4.300000000000001,0.39190476190476187,0.03487587318781059
A,CSP+LDA,4.4,0.37761904761904763,0.042080260209743564
A,CSP+LDA,4.5,0.37761904761904763,0.042080260209743564
A,CSP+LDA,4.6,0.39190476190476187,0.03487587318781059
A,CSP+LDA,4.699999999999999,0.40857142857142853,0.04893769466560182
A,CSP+LDA,4.800000000000001,0.40857142857142853,0.04893769466560182
A,CSP+LDA,4.9,0.40857142857142853,0.04893769466560182
A,CSP+LDA,5.0,0.42523809523809525,0.06425748939470524
A,CSP+LDA,5.1,0.42523809523809525,0.06425748939470524
A,CSP+LDA,5.199999999999999,0.42523809523809525,0.06425748939470524
A,CSP+LDA,5.300000000000001,0.4442857142857143,0.0882867930277754
A,CSP+LDA,5.4,0.4276190476190476,0.08561700829183146
A,CSP+LDA,5.5,0.4109523809523809,0.07015370232648721
A,CSP+LDA,5.6,0.4609523809523809,0.09822287119761797
A,CSP+LDA,5.699999999999999,0.4585714285714285,0.07610337282938957
A,CSP+LDA,5.800000000000001,0.47523809523809524,0.07744722436832889
A,CSP+LDA,5.9,0.48952380952380947,0.08807142535305544
A,CSP+LDA,6.0,0.4585714285714285,0.07518533412255467
A,CSP+LDA,6.1,0.5228571428571428,0.0906032941790737
A,CSP+LDA,6.199999999999999,0.4585714285714285,0.07518533412255465
A,CSP+LDA,6.300000000000001,0.4585714285714285,0.07518533412255465
A,CSP+LDA,6.4,0.4585714285714285,0.07518533412255465
A,CSP+LDA,6.5,0.47523809523809524,0.08754849644068677
A,CSP+LDA,6.6,0.47857142857142854,0.08737154484197107
A,CSP+LDA,6.699999999999999,0.4895238095238096,0.08320602520482209
A,CSP+LDA,6.800000000000001,0.4895238095238096,0.08320602520482209
A,CSP+LDA,6.9,0.47285714285714275,0.07092521052156521
A,CSP+LDA,7.0,0.4895238095238096,0.08320602520482209
A,CSP+LDA,7.1,0.43714285714285717,0.04307879191580435
A,CSP+LDA,7.199999999999999,0.40619047619047616,0.032711894277324946
A,CSP+LDA,7.300000000000001,0.40619047619047616,0.05231380978171587
A,CSP+LDA,7.4,0.4228571428571429,0.04138750016693479
A,CSP+LDA,7.5,0.42523809523809525,0.04036118114365161
A,CSP+LDA,7.6,0.4419047619047619,0.05029730205591854
A,CSP+LDA,7.699999999999999,0.4419047619047619,0.05029730205591854
A,CSP+LDA,7.800000000000001,0.4419047619047619,0.05029730205591854
A,CSP+LDA,7.9,0.45619047619047615,0.04501574428530634
A,CSP+LDA,8.0,0.45619047619047615,0.04501574428530634
A,CSP+LDA,8.1,0.4395238095238095,0.04075951261338542
A,CSP+LDA,8.2,0.4395238095238095,0.061193718646721074
A,CSP+LDA,8.3,0.4395238095238095,0.061193718646721074
A,CSP+LDA,8.4,0.45619047619047615,0.05601364427236637
A,CSP+LDA,8.5,0.4276190476190476,0.06747217449486682
A,CSP+LDA,8.6,0.4276190476190476,0.07432843704322041
A,CSP+LDA,8.7,0.44761904761904764,0.08355752156706683
A,CSP+LDA,8.8,0.4619047619047619,0.062000841190987255
A,CSP+LDA,8.9,0.47285714285714286,0.07836770124636461
A,CSP+LDA,9.0,0.49523809523809526,0.08354055867248349
V,CSP+LDA,-4.0,0.48,0.06674994798166928
V,CSP+LDA,-3.9,0.46333333333333326,0.058070837967281144
V,CSP+LDA,-3.8,0.4766666666666667,0.0651067499487487
V,CSP+LDA,-3.7,0.49333333333333335,0.07352248333370927
V,CSP+LDA,-3.6,0.4766666666666667,0.09392668535736914
V,CSP+LDA,-3.5,0.44333333333333336,0.07968688725254613
V,CSP+LDA,-3.4,0.45999999999999996,0.07828012377211585
V,CSP+LDA,-3.3,0.4966666666666667,0.09180292902613607
V,CSP+LDA,-3.2,0.5733333333333334,0.08158158833680278
V,CSP+LDA,-3.1,0.53,0.12398476608931527
V,CSP+LDA,-3.0,0.54,0.021473497877875204
V,CSP+LDA,-2.9,0.52,0.0639878460681749
V,CSP+LDA,-2.8,0.52,0.08934950102453472
V,CSP+LDA,-2.7,0.4833333333333334,0.077817450199525
V,CSP+LDA,-2.6,0.5233333333333333,0.0817516564562048
V,CSP+LDA,-2.5,0.5733333333333334,0.10336021155809101
V,CSP+LDA,-2.4,0.52,0.08618455649231932
V,CSP+LDA,-2.3,0.52,0.05710613899670603
V,CSP+LDA,-2.2,0.4666666666666667,0.03651483716701106
V,CSP+LDA,-2.1,0.5033333333333333,0.06940220937885672
V,CSP+LDA,-2.0,0.43666666666666665,0.06289320754704401
V,CSP+LDA,-1.9,0.43,0.04725815626252608
V,CSP+LDA,-1.7999999999999998,0.44666666666666666,0.05093568929978708
V,CSP+LDA,-1.7000000000000002,0.43,0.050662280511902205
V,CSP+LDA,-1.6,0.44666666666666666,0.05228129047119373
V,CSP+LDA,-1.5,0.41,0.09213516640723503
V,CSP+LDA,-1.4,0.42666666666666664,0.08701851654804407
V,CSP+LDA,-1.2999999999999998,0.42666666666666664,0.08701851654804407
V,CSP+LDA,-1.2000000000000002,0.42666666666666664,0.08701851654804407
V,CSP+LDA,-1.1,0.41,0.08508166012066813
V,CSP+LDA,-1.0,0.4066666666666666,0.08605553762283724
V,CSP+LDA,-0.8999999999999999,0.44000000000000006,0.071219535397405
V,CSP+LDA,-0.7999999999999998,0.4966666666666667,0.06355225321645873
V,CSP+LDA,-0.7000000000000002,0.42666666666666664,0.06924192692613662
V,CSP+LDA,-0.6000000000000001,0.5133333333333333,0.0777102881791651
V,CSP+LDA,-0.5,0.48,0.05661762583821009
V,CSP+LDA,-0.40000000000000036,0.42666666666666664,0.05126185499743233
V,CSP+LDA,-0.2999999999999998,0.44000000000000006,0.09466314547441951
V,CSP+LDA,-0.20000000000000018,0.4533333333333333,0.07253351715662981
V,CSP+LDA,-0.09999999999999964,0.47333333333333333,0.0667915496983796
V,CSP+LDA,0.0,0.47333333333333333,0.0473168985552613
V,CSP+LDA,0.09999999999999964,0.4766666666666667,0.0817516564562048
V,CSP+LDA,0.20000000000000018,0.44000000000000006,0.09092121131323903
V,CSP+LDA,0.2999999999999998,0.5266666666666666,0.05312459150169741
V,CSP+LDA,0.40000000000000036,0.51,0.05259911279353167
V,CSP+LDA,0.5,0.49333333333333335,0.01870828693386971
V,CSP+LDA,0.5999999999999996,0.53,0.03666666666666667
V,CSP+LDA,0.7000000000000002,0.53,0.056124860801609125
V,CSP+LDA,0.7999999999999998,0.5433333333333333,0.0549241901776136
V,CSP+LDA,0.9000000000000004,0.5266666666666666,0.060461190490723515
V,CSP+LDA,1.0,0.51,0.07352248333370925
V,CSP+LDA,1.0999999999999996,0.4766666666666667,0.07371114795831991
V,CSP+LDA,1.2000000000000002,0.48,0.08339997335464537
V,CSP+LDA,1.2999999999999998,0.5133333333333333,0.07947746011710911
V,CSP+LDA,1.4000000000000004,0.4966666666666667,0.08188745664358833
V,CSP+LDA,1.5,0.48,0.08746427842267952
V,CSP+LDA,1.5999999999999996,0.46333333333333326,0.07626707459098368
V,CSP+LDA,1.7000000000000002,0.46333333333333326,0.07626707459098368
V,CSP+LDA,1.7999999999999998,0.4833333333333334,0.0758287544405155
V,CSP+LDA,1.9000000000000004,0.53,0.05661762583821011
V,CSP+LDA,2.0,0.47333333333333333,0.04672615256292061
V,CSP+LDA,2.0999999999999996,0.5066666666666666,0.05517648452415616
V,CSP+LDA,2.2,0.5266666666666666,0.07446102634562891
V,CSP+LDA,2.3,0.5466666666666666,0.071956777149743
V,CSP+LDA,2.4000000000000004,0.53,0.035512126254437525
V,CSP+LDA,2.5,0.53,0.026562295750848702
V,CSP+LDA,2.5999999999999996,0.5433333333333333,0.037490739597339985
V,CSP+LDA,2.7,0.5466666666666666,0.03590109871423002
V,CSP+LDA,2.8,0.53,0.035512126254437525
V,CSP+LDA,2.9000000000000004,0.49000000000000005,0.06114645442614714
V,CSP+LDA,3.0,0.5066666666666666,0.05835713800003865
V,CSP+LDA,3.0999999999999996,0.49000000000000005,0.04236088342379611
V,CSP+LDA,3.2,0.45666666666666667,0.037490739597339985
V,CSP+LDA,3.3,0.5133333333333333,0.04515405728048021
V,CSP+LDA,3.4000000000000004,0.4800000000000001,0.035901098714230036
V,CSP+LDA,3.5,0.4966666666666667,0.032231799343022866
V,CSP+LDA,3.5999999999999996,0.45666666666666667,0.041699986677322685
V,CSP+LDA,3.6999999999999993,0.45666666666666667,0.041699986677322685
V,CSP+LDA,3.8000000000000007,0.49333333333333335,0.05930148958219065
V,CSP+LDA,3.9000000000000004,0.49333333333333335,0.05930148958219065
V,CSP+LDA,4.0,0.4766666666666667,0.07160850352980278
V,CSP+LDA,4.1,0.45666666666666667,0.059066817155564486
V,CSP+LDA,4.199999999999999,0.45666666666666667,0.038586123009300734
V,CSP+LDA,4.300000000000001,0.44000000000000006,0.012472191289246473
V,CSP+LDA,4.4,0.49333333333333335,0.029154759474226487
V,CSP+LDA,4.5,0.4766666666666667,0.05666666666666666
V,CSP+LDA,4.6,0.5266666666666666,0.05180090089306685
V,CSP+LDA,4.699999999999999,0.45666666666666667,0.06720615051218651
V,CSP+LDA,4.800000000000001,0.42333333333333334,0.08442616761275959
V,CSP+LDA,4.9,0.4966666666666667,0.052546275901448156
V,CSP+LDA,5.0,0.44000000000000006,0.022730302828309755
V,CSP+LDA,5.1,0.42333333333333334,0.04428443418528808
V,CSP+LDA,5.199999999999999,0.42666666666666664,0.043333333333333335
V,CSP+LDA,5.300000000000001,0.47333333333333333,0.059066817155564506
V,CSP+LDA,5.4,0.45666666666666667,0.04000000000000001
V,CSP+LDA,5.5,0.5066666666666666,0.06904105059069326
V,CSP+LDA,5.6,0.49000000000000005,0.06637435917246624
V,CSP+LDA,5.699999999999999,0.5266666666666666,0.07720823214600314
V,CSP+LDA,5.800000000000001,0.53,0.07291547618075785
V,CSP+LDA,5.9,0.45999999999999996,0.049888765156985884
V,CSP+LDA,6.0,0.44333333333333336,0.030092450142112988
V,CSP+LDA,6.1,0.51,0.05153208277913435
V,CSP+LDA,6.199999999999999,0.5133333333333333,0.02758824226207807
V,CSP+LDA,6.300000000000001,0.5333333333333334,0.039086797998528586
V,CSP+LDA,6.4,0.48,0.041633319989322654
V,CSP+LDA,6.5,0.4966666666666667,0.07019813229550896
V,CSP+LDA,6.6,0.4966666666666667,0.07137537701787952
V,CSP+LDA,6.699999999999999,0.48,0.07019813229550896
