model,modality,peak_bal_acc,criterion_frac,criterion_bal_acc,time_to_criterion_s
CSP+LDA,A,0.5171428571428571,0.7,0.362,0.05
CSP+LDA,V,0.6533333333333333,0.7,0.4573333333333333,0.05
CSP+LDA,VA,0.6533333333333333,0.7,0.4573333333333333,0.05
