band,modality,hand,n_trials,n_detected,detection_rate,median_onset_s,q25_onset_s,q75_onset_s,median_peak_s,q25_peak_s,q75_peak_s,median_peak_amp,q25_peak_amp,q75_peak_amp
beta,A,left,28,20,71.4,6.356,6.25,7.000500000000001,7.025,6.4725,7.894,64.63959558132312,31.083872137719826,109.52211394162833
beta,A,right,30,15,50.0,7.294,6.556,7.835,7.638,6.713,8.330499999999999,42.70069575625824,28.169304176913116,72.90177097204372
beta,V,left,28,19,67.9,6.624,6.29,7.202,7.649,6.9665,8.141,57.544818346022225,29.62396998319825,87.9563333641488
beta,V,right,28,22,78.6,6.855,6.2844999999999995,7.112,7.465999999999999,6.821,8.0275,83.625788169727,47.784726523754,116.95147529969847
beta,VA,left,28,20,71.4,7.090999999999999,6.582000000000001,7.455,7.469,7.009,7.9985,71.29481022920321,38.00510321291446,96.28594054780987
beta,VA,right,28,22,78.6,6.563,6.2989999999999995,7.109999999999999,7.681,7.0729999999999995,8.1095,84.15754269839091,62.05100254718978,168.17266747581098
