modality,hand,channel,band,trial,erd_onset_s,erd_peak_s,erd_peak_amp_pct,pmbr_peak_s,pmbr_amp_pct
V,left,C4,beta,7,0.0,1.516,-97.130356,7.76,-57.585354
V,left,C4,beta,8,1.772,1.94,-81.1045,7.12,146.6856
V,left,C4,beta,9,0.196,1.344,-73.21072,6.82,150.80156
V,left,C4,beta,10,1.208,3.304,-78.91435,6.372,359.49844
V,left,C4,beta,11,0.412,0.98,-82.18514,7.188,305.27316
V,left,C4,beta,12,2.12,4.208,-78.00544,7.796,90.3447
V,left,C4,beta,13,0.0,2.392,-84.921486,7.74,124.75778
V,left,C4,beta,14,1.072,1.264,-84.5079,7.292,211.23447
V,left,C4,beta,15,0.0,4.148,-70.48444,8.136,466.69675
V,left,C4,beta,16,0.544,0.836,-76.91676,7.2,190.04259
V,left,C4,beta,17,1.452,1.544,-89.39878,6.408,142.51332
V,left,C4,beta,18,1.172,2.384,-70.08627,6.672,258.86078
V,left,C4,beta,19,1.14,2.84,-86.152626,7.596,83.29598
V,left,C4,beta,20,0.084,3.432,-90.702835,8.112,176.27344
V,left,C4,beta,21,0.416,1.08,-85.73239,6.492,366.59692
V,left,C4,beta,22,1.084,3.808,-87.43456,7.904,323.9075
V,left,C4,beta,23,0.712,3.452,-79.81839,7.692,1171.0007
V,left,C4,beta,24,0.064,1.384,-85.52701,8.236,147.18361
V,left,C4,beta,25,1.208,1.792,-87.07794,7.212,186.19041
V,left,C4,beta,26,0.0,3.82,-91.91511,7.3,91.539
V,right,C3,mu,0,0.0,0.772,-96.98965,,
V,right,C3,mu,1,0.224,1.036,-91.284904,,
V,right,C3,mu,2,0.484,1.408,-77.181915,,
V,right,C3,mu,3,0.696,3.22,-62.60078,,
V,right,C3,mu,4,0.0,1.428,-85.68753,,
V,right,C3,mu,5,0.056,1.244,-78.1002,,
V,right,C3,mu,6,0.66,3.132,-81.570175,,
V,right,C3,mu,7,1.3,1.684,-97.37919,,
V,right,C3,mu,8,0.564,4.416,-85.66556,,
V,right,C3,mu,9,0.0,4.188,-95.93504,,
V,right,C3,mu,10,0.66,2.164,-73.04872,,
V,right,C3,mu,11,0.0,2.232,-92.55837,,
V,right,C3,mu,12,0.408,2.684,-89.442406,,
V,right,C3,mu,13,0.0,2.824,-89.21279,,
V,right,C3,mu,14,0.0,4.24,-92.54568,,
V,right,C3,mu,15,0.944,2.836,-74.74145,,
V,right,C3,mu,16,0.0,4.304,-85.82529,,
V,right,C3,mu,17,0.348,2.388,-79.70614,,
V,right,C3,mu,18,0.192,0.848,-99.03817,,
V,right,C3,mu,19,0.64,4.044,-80.13807,,
V,right,C3,mu,20,0.2,3.952,-80.592674,,
V,right,C3,mu,21,0.044,2.616,-94.2038,,
V,right,C3,mu,22,0.648,0.952,-89.09075,,
V,right,C3,mu,23,1.28,1.644,-71.75421,,
V,right,C3,mu,24,,3.54,-37.69584,,
V,right,C3,mu,25,2.768,2.908,-81.610374,,
V,right,C3,mu,26,0.532,1.66,-88.62573,,
V,right,C3,beta,0,0.188,1.912,-90.85427,7.648,204.76889
V,right,C3,beta,1,0.648,0.512,-88.092636,7.8,326.5779
V,right,C3,beta,2,0.06,1.532,-67.82676,7.192,179.16383
V,right,C3,beta,3,0.632,0.708,-80.88605,6.892,254.05962
V,right,C3,beta,4,0.56,2.816,-84.71672,7.948,100.26181
V,right,C3,beta,5,,2.832,-64.74796,8.048,339.30283
V,right,C3,beta,6,1.332,4.492,-62.45355,8.448,196.23203
V,right,C3,beta,7,0.164,3.64,-71.00365,7.96,203.66628
V,right,C3,beta,8,0.592,0.776,-85.98183,8.12,307.57565
V,right,C3,beta,9,0.0,0.952,-89.00445,7.956,91.08998
V,right,C3,beta,10,0.0,0.72,-82.68256,7.928,307.611
V,right,C3,beta,11,2.488,3.212,-80.69611,8.128,231.79564
V,right,C3,beta,12,1.596,3.164,-72.20392,7.364,229.29498
V,right,C3,beta,13,0.308,2.708,-91.80965,7.528,368.43057
V,right,C3,beta,14,0.048,2.276,-82.72267,7.692,162.26361
V,right,C3,beta,15,0.26,3.032,-81.21687,6.54,184.84717
V,right,C3,beta,16,0.488,0.608,-88.584595,7.06,180.2987
V,right,C3,beta,17,0.74,2.608,-80.97901,7.132,349.73868
V,right,C3,beta,18,3.124,3.916,-64.487495,8.096,304.23358
V,right,C3,beta,19,1.328,1.496,-84.45155,7.304,106.017265
V,right,C3,beta,20,0.372,2.776,-87.1611,6.996,223.87259
V,right,C3,beta,21,0.18,4.076,-71.675674,7.004,84.58782
V,right,C3,beta,22,0.064,0.868,-74.59268,6.452,244.94975
V,right,C3,beta,23,0.0,3.424,-95.40673,7.032,134.5445
V,right,C3,beta,24,0.52,3.5,-86.90283,6.32,529.29346
V,right,C3,beta,25,0.612,3.72,-77.76299,6.984,262.08765
V,right,C3,beta,26,2.912,1.692,-74.289055,7.88,144.66273
V,right,C4,mu,0,0.512,3.396,-91.069305,,
V,right,C4,mu,1,0.0,1.696,-89.1503,,
V,right,C4,mu,2,0.58,3.988,-84.485886,,
V,right,C4,mu,3,0.092,3.356,-87.29564,,
V,right,C4,mu,4,0.592,0.944,-91.34557,,
V,right,C4,mu,5,0.08,2.16,-89.421616,,
V,right,C4,mu,6,0.0,2.08,-86.12364,,
V,right,C4,mu,7,0.0,2.708,-72.4203,,
V,right,C4,mu,8,0.428,3.12,-65.93415,,
V,right,C4,mu,9,0.86,2.948,-75.98637,,
V,right,C4,mu,10,0.372,0.516,-78.85616,,
V,right,C4,mu,11,0.596,2.544,-66.77624,,
V,right,C4,mu,12,1.336,3.176,-83.90016,,
V,right,C4,mu,13,1.256,2.332,-74.291756,,
V,right,C4,mu,14,0.44,0.604,-69.05683,,
V,right,C4,mu,15,0.0,3.508,-93.4279,,
V,right,C4,mu,16,0.448,2.388,-80.40834,,
V,right,C4,mu,17,1.696,1.812,-65.31037,,
V,right,C4,mu,18,0.24,1.996,-93.99622,,
V,right,C4,mu,19,1.32,3.432,-90.57854,,
V,right,C4,mu,20,0.0,1.2,-91.45505,,
V,right,C4,mu,21,0.0,4.32,-87.19324,,
V,right,C4,mu,22,0.664,3.748,-73.79049,,
V,right,C4,mu,23,0.932,4.148,-80.97192,,
V,right,C4,mu,24,0.552,2.844,-80.93541,,
V,right,C4,mu,25,1.964,2.136,-82.2885,,
V,right,C4,mu,26,0.268,0.588,-94.35102,,
V,right,C4,beta,0,0.112,1.548,-93.55953,8.304,142.98062
